Name,Team,espn_id,H,AVG,HR,TB,BB,R,RBI,SB
CJ Abrams,WSH,42402,143.0,0.253,19.0,242.0,38.0,87.0,62.0,31.0
Kyle Stowers,MIA,42796,121.0,0.259,26.0,229.0,54.0,66.0,82.0,4.0
Luis Arraez,SF,39572,189.0,0.302,7.0,248.0,30.0,71.0,59.0,7.0
Gabriel Moreno,ARI,42464,107.0,0.279,10.0,159.0,42.0,52.0,55.0,3.0
Sal Frelick,MIL,4417795,143.0,0.267,9.0,198.0,48.0,78.0,58.0,20.0
Zach Neto,LAA,4666100,140.0,0.254,27.0,254.0,41.0,87.0,72.0,31.0
Bryson Stott,PHI,42417,134.0,0.256,12.0,199.0,53.0,67.0,63.0,26.0
Teoscar Hernandez,LAD,33377,142.0,0.254,27.0,255.0,35.0,74.0,97.0,7.0
Xavier Edwards,MIA,41326,158.0,0.284,3.0,198.0,53.0,74.0,43.0,28.0
Otto Lopez,MIA,41917,144.0,0.261,13.0,209.0,39.0,69.0,71.0,16.0
Brandon Lowe,PIT,39961,122.0,0.252,26.0,222.0,42.0,72.0,79.0,3.0
TJ Friedl,CIN,36020,141.0,0.247,14.0,210.0,69.0,77.0,65.0,11.0
Michael Busch,CHC,42415,135.0,0.254,32.0,266.0,60.0,78.0,85.0,4.0
Ernie Clement,TOR,41287,137.0,0.275,9.0,198.0,24.0,70.0,53.0,6.0
Jac Caglianone,KC,4926296,114.0,0.243,20.0,196.0,54.0,63.0,69.0,4.0
Dansby Swanson,CHC,34895,142.0,0.245,23.0,242.0,51.0,82.0,74.0,19.0
Kazuma Okamoto,TOR,5134636,131.0,0.248,23.0,231.0,66.0,54.0,66.0,1.0
Ryan O'Hearn,PIT,35183,128.0,0.264,13.0,197.0,50.0,67.0,67.0,3.0
Heliot Ramos,SF,39642,155.0,0.25,23.0,255.0,51.0,80.0,77.0,6.0
J.T. Realmuto,PHI,32177,118.0,0.252,14.0,189.0,33.0,55.0,51.0,7.0
Jo Adell,LAA,40854,124.0,0.233,35.0,249.0,41.0,66.0,91.0,7.0
Luis Garcia Jr.,WSH,40459,135.0,0.268,16.0,214.0,28.0,65.0,66.0,16.0
Isaac Paredes,HOU,39706,118.0,0.248,22.0,207.0,63.0,64.0,74.0,0.0
Christian Walker,HOU,32758,143.0,0.245,30.0,262.0,49.0,78.0,95.0,2.0
Ceddanne Rafaela,BOS,4987382,138.0,0.251,17.0,230.0,25.0,80.0,67.0,20.0
J.P. Crawford,SEA,33210,141.0,0.255,13.0,205.0,77.0,79.0,60.0,8.0
Jeff McNeil,OAK,33900,108.0,0.251,11.0,172.0,43.0,52.0,50.0,3.0
Wilyer Abreu,BOS,4990055,110.0,0.252,23.0,205.0,53.0,66.0,75.0,8.0
Marcell Ozuna,PIT,31668,132.0,0.26,23.0,225.0,75.0,67.0,75.0,0.0
Daulton Varsho,TOR,40963,102.0,0.219,24.0,203.0,39.0,72.0,74.0,6.0
Lawrence Butler,OAK,4917919,140.0,0.242,21.0,238.0,57.0,83.0,67.0,23.0
Spencer Torkelson,DET,4424286,143.0,0.243,32.0,271.0,72.0,85.0,81.0,2.0
Adolis Garcia,PHI,35537,121.0,0.231,25.0,223.0,37.0,69.0,83.0,14.0
Alec Bohm,PHI,41169,135.0,0.278,12.0,201.0,33.0,54.0,69.0,2.0
Samuel Basallo,BAL,4917646,94.0,0.248,22.0,179.0,43.0,48.0,60.0,3.0
Jorge Polanco,NYM,32525,116.0,0.247,23.0,209.0,48.0,65.0,77.0,6.0
Xander Bogaerts,SD,31606,143.0,0.267,13.0,214.0,48.0,70.0,57.0,20.0
Kerry Carpenter,DET,42714,122.0,0.251,26.0,231.0,27.0,67.0,72.0,1.0
Nolan Arenado,ARI,31261,121.0,0.256,15.0,191.0,35.0,58.0,63.0,3.0
Noelvi Marte,CIN,41307,136.0,0.256,17.0,218.0,35.0,71.0,71.0,18.0
Matt McLain,CIN,4422899,120.0,0.235,16.0,194.0,52.0,79.0,57.0,17.0
Austin Wells,NYY,4683349,86.0,0.225,19.0,167.0,36.0,50.0,70.0,3.0
Mike Trout,LAA,30836,104.0,0.235,26.0,199.0,82.0,71.0,62.0,2.0
Jake Cronenworth,SD,36364,110.0,0.24,13.0,178.0,61.0,62.0,62.0,3.0
Kyle Teel,CWS,4743772,98.0,0.255,12.0,152.0,60.0,57.0,48.0,6.0
Chandler Simpson,TB,4679983,128.0,0.287,0.0,154.0,27.0,56.0,28.0,50.0
Miguel Vargas,CWS,42453,113.0,0.226,15.0,193.0,66.0,78.0,61.0,7.0
Jonathan India,KC,41171,118.0,0.245,12.0,186.0,57.0,72.0,52.0,6.0
Andrew Benintendi,CWS,34986,108.0,0.242,16.0,177.0,41.0,55.0,57.0,1.0
Willson Contreras,BOS,32532,131.0,0.264,23.0,233.0,55.0,72.0,78.0,5.0
Jackson Holliday,BAL,5080633,139.0,0.249,17.0,218.0,59.0,81.0,58.0,16.0
Ryan Jeffers,MIN,41587,103.0,0.252,14.0,170.0,44.0,51.0,53.0,1.0
Ramon Laureano,SD,35142,118.0,0.268,20.0,211.0,35.0,66.0,65.0,7.0
Lars Nootbaar,STL,4448736,114.0,0.239,14.0,182.0,65.0,65.0,50.0,4.0
Carlos Correa,HOU,32653,141.0,0.275,15.0,213.0,49.0,63.0,57.0,0.0
Dylan Crews,WSH,4719511,111.0,0.236,14.0,178.0,39.0,62.0,50.0,31.0
Carter Jensen,KC,4917812,75.0,0.27,10.0,126.0,42.0,38.0,40.0,3.0
Trent Grisham,NYY,34995,92.0,0.227,25.0,182.0,61.0,70.0,63.0,2.0
Ivan Herrera,STL,41889,125.0,0.28,17.0,196.0,57.0,65.0,69.0,10.0
Nolan Schanuel,LAA,4739755,129.0,0.262,11.0,185.0,61.0,62.0,49.0,6.0
Luis Robert Jr.,NYM,39631,104.0,0.23,20.0,182.0,40.0,65.0,58.0,37.0
Trevor Larnach,MIN,41205,121.0,0.244,19.0,207.0,61.0,67.0,65.0,4.0
Spencer Steer,CIN,4722857,128.0,0.244,20.0,220.0,58.0,68.0,82.0,9.0
Gavin Sheets,SD,40700,118.0,0.248,15.0,192.0,40.0,48.0,63.0,2.0
Addison Barger,TOR,4997589,118.0,0.245,19.0,208.0,43.0,62.0,72.0,5.0
Francisco Alvarez,NYM,41253,82.0,0.234,20.0,158.0,36.0,47.0,55.0,0.0
Trevor Story,BOS,32150,138.0,0.253,21.0,229.0,32.0,75.0,81.0,25.0
Jasson Dominguez,NYY,42401,105.0,0.25,14.0,167.0,49.0,66.0,55.0,25.0
Andrew Vaughn,MIL,42394,132.0,0.255,20.0,221.0,42.0,69.0,79.0,0.0
Max Muncy,LAD,33303,84.0,0.237,21.0,164.0,60.0,58.0,69.0,4.0
Harrison Bader,SF,35062,110.0,0.247,15.0,178.0,30.0,57.0,52.0,10.0
Dillon Dingler,DET,4345620,112.0,0.268,14.0,179.0,33.0,50.0,57.0,0.0
Andres Gimenez,TOR,37729,122.0,0.242,10.0,175.0,32.0,60.0,53.0,20.0
Giancarlo Stanton,NYY,30583,106.0,0.238,33.0,222.0,46.0,57.0,98.0,0.0
Jonathan Aranda,TB,40810,128.0,0.281,20.0,215.0,61.0,70.0,69.0,0.0
Cedric Mullins,TB,35578,87.0,0.215,13.0,152.0,45.0,56.0,56.0,21.0
Masyn Winn,STL,4683365,138.0,0.252,13.0,207.0,41.0,78.0,55.0,10.0
Tyler Stephenson,CIN,34975,87.0,0.24,14.0,150.0,42.0,51.0,56.0,0.0
Chase Meidroth,CWS,5136929,124.0,0.253,7.0,167.0,69.0,65.0,34.0,16.0
Sal Stewart,CIN,5080771,105.0,0.271,20.0,189.0,38.0,57.0,56.0,7.0
Chase DeLauter,CLE,4619649,78.0,0.227,10.0,129.0,53.0,44.0,39.0,1.0
Carson Kelly,CHC,32797,86.0,0.246,14.0,142.0,37.0,43.0,45.0,2.0
Bo Naylor,CLE,41183,75.0,0.207,14.0,139.0,47.0,47.0,46.0,2.0
Brenton Doyle,COL,42462,127.0,0.234,18.0,211.0,37.0,62.0,59.0,21.0
Royce Lewis,MIN,40635,101.0,0.248,18.0,174.0,30.0,46.0,60.0,13.0
Brooks Lee,MIN,4629081,116.0,0.24,15.0,187.0,37.0,50.0,63.0,3.0
Ezequiel Tovar,COL,4905919,160.0,0.262,21.0,270.0,25.0,71.0,65.0,7.0
Dominic Canzone,SEA,4345621,113.0,0.266,18.0,185.0,37.0,55.0,57.0,5.0
Keibert Ruiz,WSH,38827,108.0,0.252,10.0,158.0,19.0,39.0,49.0,1.0
Evan Carter,TEX,4917921,100.0,0.236,16.0,175.0,61.0,71.0,54.0,31.0
Brandon Marsh,PHI,40803,116.0,0.267,13.0,185.0,45.0,61.0,56.0,14.0
Jorge Soler,LAA,32558,92.0,0.227,22.0,178.0,49.0,57.0,54.0,0.0
Mike Yastrzemski,ATL,33341,98.0,0.232,17.0,178.0,53.0,63.0,49.0,5.0
Logan O'Hoppe,LAA,42047,99.0,0.232,20.0,172.0,27.0,45.0,49.0,2.0
Willi Castro,COL,34230,99.0,0.251,10.0,156.0,36.0,61.0,37.0,14.0
Munetaka Murakami,CWS,4872595,106.0,0.228,25.0,196.0,67.0,65.0,66.0,8.0
Austin Hays,CWS,36928,114.0,0.254,16.0,192.0,31.0,67.0,64.0,8.0
Wenceel Perez,DET,41586,96.0,0.235,15.0,173.0,40.0,55.0,43.0,10.0
Tommy Edman,LAD,39907,98.0,0.236,13.0,157.0,29.0,54.0,51.0,5.0
Mickey Moniak,COL,36181,109.0,0.267,18.0,195.0,19.0,52.0,56.0,9.0
Jordan Westburg,BAL,4298641,123.0,0.262,21.0,215.0,29.0,72.0,62.0,4.0
Freddy Fermin,SD,41928,92.0,0.26,7.0,128.0,25.0,40.0,36.0,1.0
Kyle Manzardo,CLE,4917927,120.0,0.238,25.0,225.0,62.0,55.0,68.0,2.0
