,Name,Team,z_total,z_H,z_R,z_HR,z_TB,z_RBI,z_BB,z_SB,z_AVG,H,R,HR,TB,RBI,BB,SB,AVG,Type,Pos,z_K,z_QS,z_W,z_L,z_SV,z_HD,z_ERA,z_WHIP,K,QS,W,L,SV,HD,ERA,WHIP,espn_rank,espn_rank_roto,espn_auction
48,Yandy Diaz,TBR,0.245,1.536,-0.063,-0.007,0.789,0.167,0.057,-0.943,1.749,175.0,79.0,25.0,281.0,83.0,57.0,3.0,0.3,BAT,BAT,,,,,,,,,,,,,,,,,123,89.0,4.0
49,Joe Ryan,MIN,0.241,,,,,,,,,,,,,,,,,PIT,PIT,1.261,0.67,1.122,-0.674,-0.547,-0.356,0.192,0.839,194.0,15.6,13.0,10.0,0.0,0.0,3.42,1.04,30,59.0,29.0
50,Brice Turang,MIL,0.239,1.227,0.962,-0.761,0.16,0.049,0.457,0.918,1.235,168.0,97.0,18.0,254.0,81.0,66.0,24.0,0.288,BAT,BAT,,,,,,,,,,,,,,,,,67,67.0,13.0
51,Bo Bichette,TOR,0.238,1.801,-0.12,-0.761,0.789,0.817,-0.697,-0.855,2.221,181.0,78.0,18.0,281.0,94.0,40.0,4.0,0.311,BAT,BAT,,,,,,,,,,,,,,,,,115,71.0,5.0
52,Trea Turner,PHI,0.235,1.713,0.791,-1.084,0.509,-0.66,-0.564,1.982,1.921,179.0,94.0,15.0,269.0,69.0,43.0,36.0,0.304,BAT,BAT,,,,,,,,,,,,,,,,,80,18.0,10.0
53,Seiya Suzuki,CHC,0.22,-0.009,-0.291,0.747,0.603,1.348,0.679,-0.766,-0.61,140.0,75.0,32.0,273.0,103.0,71.0,5.0,0.245,BAT,BAT,,,,,,,,,,,,,,,,,87,84.0,9.0
54,Matthew Boyd,CHC,0.218,,,,,,,,,,,,,,,,,PIT,PIT,0.414,0.743,1.386,-0.094,-0.547,-0.356,0.404,0.542,154.0,16.1,14.0,8.0,0.0,0.0,3.21,1.09,150,149.0,2.0
55,Josh Naylor,- - -,0.206,0.874,0.051,-0.546,0.09,0.698,-0.342,1.45,1.535,160.0,81.0,20.0,251.0,92.0,48.0,30.0,0.295,BAT,BAT,,,,,,,,,,,,,,,,,92,58.0,8.0
56,Randy Arozarena,SEA,0.194,0.256,0.848,0.208,0.323,-0.247,0.368,1.539,-0.91,146.0,95.0,27.0,261.0,76.0,64.0,31.0,0.238,BAT,BAT,,,,,,,,,,,,,,,,,94,77.0,8.0
57,Nick Kurtz,ATH,0.193,-0.804,0.563,1.177,0.3,0.344,0.324,-1.032,1.32,122.0,90.0,36.0,260.0,86.0,63.0,2.0,0.29,BAT,BAT,,,,,,,,,,,,,,,,,79,21.0,10.0
